N,Stride,Kernel,Scalar_GFLOPs,SIMD_GFLOPs,Speedup,Scalar_CPE,SIMD_CPE,Scalar_Stdev,SIMD_Stdev
1024,1,SAXPY,1.55152,1.76552,1.13793,3.86719,3.39844,9.79796e-08,4.89898e-08
1024,1,Dot,0.975238,0.984615,1.00962,6.15234,6.09375,0,4e-08
1024,1,Multiply,1.024,0.984615,0.961538,2.92969,3.04688,0,4.89898e-08
1024,2,SAXPY,1.1907,1.1907,1,5.03906,5.03906,4.89898e-08,4.89898e-08
1024,2,Dot,0.812698,0.825806,1.01613,7.38281,7.26562,4.89898e-08,4.89898e-08
1024,2,Multiply,0.65641,0.711111,1.08333,4.57031,4.21875,7.48331e-08,4e-08
1024,4,SAXPY,0.8,0.8,1,7.5,7.5,4.89898e-08,4.89898e-08
1024,4,Dot,0.595349,0.609524,1.02381,10.0781,9.84375,4.89898e-08,4.89898e-08
1024,4,Multiply,0.412903,0.426667,1.03333,7.26562,7.03125,4e-08,0
1024,8,SAXPY,0.412903,0.474074,1.14815,14.5312,12.6562,1.46969e-07,4.89898e-08
1024,8,Dot,0.4,0.412903,1.03226,15,14.5312,4.89898e-08,4e-08
1024,8,Multiply,0.237037,0.256,1.08,12.6562,11.7188,4.89898e-08,0
32768,1,SAXPY,2.84939,2.69252,0.944947,2.10571,2.22839,3.79473e-07,3.24752e-06
32768,1,Dot,1.2342,1.22177,0.989933,4.86145,4.91089,0,1.28e-06
32768,1,Multiply,1.44735,1.5045,1.03949,2.07275,1.99402,5.53534e-07,9.79796e-08
32768,2,SAXPY,2.06608,2.17583,1.05312,2.90405,2.75757,1.35647e-07,4.22374e-07
32768,2,Dot,1.22177,1.22543,1.00299,4.91089,4.89624,1.46969e-07,4.89898e-08
32768,2,Multiply,1.01891,0.811089,0.79604,2.94434,3.69873,1.13031e-06,8.12798e-06
32768,4,SAXPY,0.533333,1.65161,3.09677,11.25,3.63281,5.04119e-06,1.74057e-06
32768,4,Dot,1.20294,1.20471,1.00147,4.98779,4.98047,4e-08,0
32768,4,Multiply,0.867797,0.908204,1.04656,3.45703,3.30322,9.8102e-07,4e-08
32768,8,SAXPY,1.60627,1.40274,0.873288,3.73535,4.27734,4.51664e-07,4.89898e-08
32768,8,Dot,1.16034,1.00639,0.867322,5.1709,5.96191,8e-08,2.23034e-06
32768,8,Multiply,0.630154,0.325596,0.516693,4.76074,9.21387,6.51153e-07,4e-08
1048576,1,SAXPY,2.32552,2.32598,1.0002,2.58007,2.57956,3.51429e-05,3.14443e-05
1048576,1,Dot,1.17148,1.17398,1.00214,5.12175,5.11082,3.0547e-05,2.39941e-05
1048576,1,Multiply,1.28846,1.35269,1.04985,2.32836,2.21781,5.21321e-05,2.18857e-05
1048576,2,SAXPY,1.89451,1.853,0.978087,3.16704,3.23799,3.39479e-05,2.75535e-05
1048576,2,Dot,1.19295,1.19755,1.00386,5.02956,5.01022,1.93651e-05,1.78432e-05
1048576,2,Multiply,0.755524,0.815657,1.07959,3.97076,3.67802,6.69274e-05,6.79633e-05
1048576,4,SAXPY,1.24428,1.37349,1.10385,4.82208,4.36844,5.63314e-05,6.99358e-05
1048576,4,Dot,1.17765,1.18881,1.00948,5.09491,5.04707,1.10974e-05,6.71279e-06
1048576,4,Multiply,0.440667,0.406917,0.923411,6.80786,7.37251,3.37753e-05,4.6733e-05
1048576,8,SAXPY,0.604827,0.60349,0.99779,9.9202,9.94217,2.96846e-05,4.99363e-05
1048576,8,Dot,0.654509,0.662047,1.01152,9.16718,9.06281,1.04988e-05,9.31292e-06
1048576,8,Multiply,0.215473,0.219625,1.01927,13.9229,13.6597,0.000104743,4.54456e-05
16777216,1,SAXPY,2.08463,2.01867,0.968359,2.87821,2.97225,6.12652e-05,0.000142834
16777216,1,Dot,1.16272,1.16327,1.00047,5.16031,5.15786,0.00017716,0.000167859
16777216,1,Multiply,1.10731,1.13339,1.02355,2.70926,2.64692,6.93379e-05,7.56577e-05
16777216,2,SAXPY,1.57769,1.58326,1.00353,3.80304,3.78966,6.84787e-05,8.55876e-05
16777216,2,Dot,1.13097,1.16099,1.02654,5.30518,5.16802,0.000560478,7.16101e-05
16777216,2,Multiply,0.620759,0.63206,1.01821,4.8328,4.74639,0.000219567,0.000278684
16777216,4,SAXPY,0.875689,0.867269,0.990385,6.85175,6.91827,9.6877e-05,8.73633e-05
16777216,4,Dot,0.927605,0.924884,0.997067,6.46827,6.4873,0.000121785,0.000284128
16777216,4,Multiply,0.305288,0.311606,1.02069,9.82678,9.62754,0.000513731,0.000341539
16777216,8,SAXPY,0.404649,0.412126,1.01848,14.8277,14.5587,0.000610587,0.000166929
16777216,8,Dot,0.432423,0.455421,1.05319,13.8753,13.1746,0.00041978,0.000410728
16777216,8,Multiply,0.143094,0.148467,1.03755,20.9652,20.2065,0.000866028,0.000631398
