N,Stride,Kernel,Scalar_GFLOPs,SIMD_GFLOPs,Speedup,Scalar_CPE,SIMD_CPE,Scalar_Stdev,SIMD_Stdev
1024,1,SAXPY,1.52836,1.6,1.04688,3.92578,3.75,1.35647e-07,7.48331e-08
1024,1,Dot,0.975238,0.984615,1.00962,6.15234,6.09375,6.32456e-08,4e-08
1024,1,Multiply,1.00392,0.948148,0.944444,2.98828,3.16406,4e-08,7.48331e-08
1024,2,SAXPY,1.16364,1.21905,1.04762,5.15625,4.92187,7.48331e-08,4.89898e-08
1024,2,Dot,0.839344,0.839344,1,7.14844,7.14844,4e-08,4e-08
1024,2,Multiply,0.65641,0.691892,1.05405,4.57031,4.33594,7.48331e-08,4.89898e-08
1024,4,SAXPY,0.825806,0.853333,1.03333,7.26562,7.03125,7.48331e-08,0
1024,4,Dot,0.64,0.609524,0.952381,9.375,9.84375,0,4.89898e-08
1024,4,Multiply,0.387879,0.4,1.03125,7.73437,7.5,8e-08,4.89898e-08
1024,8,SAXPY,0.474074,0.457143,0.964286,12.6562,13.125,4.89898e-08,4.89898e-08
1024,8,Dot,0.4,0.412903,1.03226,15,14.5312,8e-08,4e-08
1024,8,Multiply,0.237037,0.246154,1.03846,12.6562,12.1875,4.89898e-08,4e-08
32768,1,SAXPY,2.41474,2.5323,1.04869,2.48474,2.36938,2.63105e-06,1.83303e-07
32768,1,Dot,1.16778,1.23606,1.05847,5.13794,4.85413,3.8212e-06,4e-08
32768,1,Multiply,1.24121,1.37105,1.1046,2.41699,2.18811,3.87195e-06,3.03315e-07
32768,2,SAXPY,1.45765,0.692184,0.474863,4.11621,8.66821,7.56026e-06,3.99079e-06
32768,2,Dot,1.20559,1.2236,1.01494,4.97681,4.90356,8.10925e-07,4e-08
32768,2,Multiply,0.417533,0.878028,2.10289,7.18506,3.41675,1.53049e-06,2.12094e-06
32768,4,SAXPY,1.33203,1.43217,1.07517,4.50439,4.18945,5.95013e-06,2.33238e-07
32768,4,Dot,1.17364,1.20294,1.02496,5.1123,4.98779,7.2e-07,4e-08
32768,4,Multiply,0.271798,0.660645,2.43065,11.0376,4.54102,6.71643e-06,1e-06
32768,8,SAXPY,0.884665,0.722399,0.816578,6.78223,8.30566,3.52057e-06,6.9379e-06
32768,8,Dot,1.11304,1.16034,1.04249,5.39062,5.1709,6.21611e-07,4.89898e-08
32768,8,Multiply,0.147444,0.32,2.17031,20.3467,9.375,2.62557e-06,3.38172e-06
1048576,1,SAXPY,1.82272,1.80397,0.989712,3.29178,3.326,8.05517e-05,0.000112173
1048576,1,Dot,1.14957,1.16819,1.0162,5.21936,5.13617,4.37638e-05,7.51366e-05
1048576,1,Multiply,0.733721,0.721434,0.983254,4.08875,4.15838,8.74957e-05,9.28055e-05
1048576,2,SAXPY,0.983267,1.05272,1.07064,6.1021,5.6995,0.000122788,0.000210491
1048576,2,Dot,1.08463,1.14603,1.05661,5.53185,5.23544,8.93003e-05,6.48247e-06
1048576,2,Multiply,0.356474,0.364595,1.02278,8.41576,8.2283,0.000171679,0.000140823
1048576,4,SAXPY,0.538261,0.626464,1.16387,11.147,9.57756,0.00018921,0.00021054
1048576,4,Dot,0.714308,0.757664,1.0607,8.39973,7.91908,0.000126867,8.96772e-05
1048576,4,Multiply,0.178005,0.188087,1.05664,16.8535,15.9501,0.000194771,0.000119819
1048576,8,SAXPY,0.286603,0.306982,1.07111,20.9349,19.5451,0.000210234,0.000250214
1048576,8,Dot,0.293548,0.446309,1.5204,20.4396,13.4436,0.000165458,3.3611e-05
1048576,8,Multiply,0.0912199,0.0993738,1.08939,32.8876,30.1891,0.000228893,0.000190183
16777216,1,SAXPY,1.57955,1.56516,0.990889,3.79855,3.83347,0.000165444,0.000286573
16777216,1,Dot,1.17047,1.17115,1.00058,5.12613,5.12316,0.000157874,8.77286e-05
16777216,1,Multiply,0.662173,0.659921,0.996598,4.53054,4.546,0.000125243,0.0003263
16777216,2,SAXPY,0.919384,0.891231,0.969379,6.52611,6.73226,0.000337625,0.000363004
16777216,2,Dot,0.969866,0.965707,0.995712,6.18642,6.21306,0.000271277,0.00035334
16777216,2,Multiply,0.333542,0.329534,0.987984,8.99436,9.10375,0.000356164,0.000896472
16777216,4,SAXPY,0.446455,0.440171,0.985924,13.4392,13.6311,0.000187171,0.000241607
16777216,4,Dot,0.461499,0.4759,1.03121,13.0011,12.6077,0.000222013,0.000226881
16777216,4,Multiply,0.158469,0.154336,0.973919,18.9311,19.4381,0.000528886,0.000827059
16777216,8,SAXPY,0.193116,0.191358,0.990897,31.0695,31.3549,0.000374071,0.00131229
16777216,8,Dot,0.216304,0.216149,0.999285,27.7388,27.7586,0.000315291,0.00045962
16777216,8,Multiply,0.0730944,0.071569,0.979131,41.0428,41.9176,0.000512229,0.0013695
