N,Stride,Kernel,Scalar_GFLOPs,SIMD_GFLOPs,Speedup,Scalar_CPE,SIMD_CPE,Scalar_Stdev,SIMD_Stdev
1024,1,SAXPY,1.52836,1.70667,1.11667,3.92578,3.51562,1.35647e-07,0
1024,1,Dot,0.975238,0.994175,1.01942,6.15234,6.03516,0,4.89898e-08
1024,1,Multiply,0.948148,0.930909,0.981818,3.16406,3.22266,4e-08,0
1024,2,SAXPY,1.16364,1.1907,1.02326,5.15625,5.03906,4e-08,4.89898e-08
1024,2,Dot,0.8,0.825806,1.03226,7.5,7.26562,4e-08,4.89898e-08
1024,2,Multiply,0.65641,0.65641,1,4.57031,4.57031,4e-08,4e-08
1024,4,SAXPY,0.775758,0.752941,0.970588,7.73437,7.96875,4.89898e-08,4e-08
1024,4,Dot,0.595349,0.62439,1.04878,10.0781,9.60938,4.89898e-08,4e-08
1024,4,Multiply,0.4,0.412903,1.03226,7.5,7.26562,4.89898e-08,4e-08
1024,8,SAXPY,0.474074,0.457143,0.964286,12.6562,13.125,4.89898e-08,4.89898e-08
1024,8,Dot,0.376471,0.412903,1.09677,15.9375,14.5312,4e-08,4e-08
1024,8,Multiply,0.213333,0.228571,1.07143,14.0625,13.125,0,4.89898e-08
32768,1,SAXPY,2.87187,2.91012,1.01332,2.08923,2.06177,2.92575e-07,2.92575e-07
32768,1,Dot,1.23606,1.2356,0.999623,4.85413,4.85596,4e-08,4.89898e-08
32768,1,Multiply,1.42842,1.5045,1.05326,2.10022,1.99402,9.4784e-07,1.16619e-07
32768,2,SAXPY,2.06348,2.1672,1.05026,2.90771,2.76855,1.16619e-07,4.53431e-07
32768,2,Dot,1.2236,1.22269,0.999254,4.90356,4.90723,4e-08,0
32768,2,Multiply,0.834216,1.07931,1.29381,3.59619,2.77954,5.66766e-06,7.48331e-08
32768,4,SAXPY,0.55539,1.80839,3.25607,10.8032,3.31787,2.5012e-06,4.89898e-08
32768,4,Dot,1.20117,1.13778,0.947222,4.99512,5.27344,4.89898e-08,1.55048e-06
32768,4,Multiply,0.867797,0.79534,0.916505,3.45703,3.77197,9.30806e-07,2.35032e-06
32768,8,SAXPY,1.59377,1.1907,0.747093,3.76465,5.03906,3.00666e-07,3.65513e-07
32768,8,Dot,1.12219,1.11003,0.98916,5.34668,5.40527,5.01996e-07,7.11056e-07
32768,8,Multiply,0.638006,0.323539,0.507109,4.70215,9.27246,4.4e-07,4.89898e-08
1048576,1,SAXPY,2.38606,2.4018,1.0066,2.51461,2.49813,5.99579e-05,2.67029e-05
1048576,1,Dot,1.19386,1.18503,0.992609,5.02573,5.06315,2.86041e-05,3.20059e-05
1048576,1,Multiply,1.33822,1.34723,1.00673,2.24178,2.22679,4.57005e-05,2.83695e-05
1048576,2,SAXPY,1.87574,1.85189,0.987284,3.19874,3.23994,2.75752e-05,2.05164e-05
1048576,2,Dot,1.19143,1.19777,1.00532,5.03597,5.00931,1.25162e-05,1.21515e-05
1048576,2,Multiply,0.867653,0.876208,1.00986,3.4576,3.42384,8.90024e-05,1.10632e-05
1048576,4,SAXPY,1.30077,1.27322,0.978824,4.61266,4.71245,5.42493e-05,6.08711e-05
1048576,4,Dot,1.17754,1.20266,1.02133,5.09537,4.98894,8.16593e-06,8.92852e-06
1048576,4,Multiply,0.452284,0.504375,1.11517,6.633,5.94795,0.000108268,6.43849e-05
1048576,8,SAXPY,0.698045,0.722877,1.03557,8.59543,8.30017,8.36805e-05,3.76492e-05
1048576,8,Dot,0.743671,0.960727,1.29187,8.06808,6.24527,1.97601e-05,1.50119e-05
1048576,8,Multiply,0.229155,0.231912,1.01203,13.0916,12.9359,7.86258e-05,7.64972e-05
16777216,1,SAXPY,2.06952,1.99266,0.962861,2.89922,3.01105,0.000118005,0.000199773
16777216,1,Dot,1.15883,1.16741,1.0074,5.17763,5.13958,0.000376635,0.00027184
16777216,1,Multiply,1.11086,1.12638,1.01398,2.70062,2.66339,7.66844e-05,0.000118481
16777216,2,SAXPY,1.55158,1.55764,1.0039,3.86702,3.85197,0.000102778,7.68608e-05
16777216,2,Dot,1.15167,1.14275,0.992258,5.20982,5.25047,8.121e-05,8.03691e-05
16777216,2,Multiply,0.654039,0.665905,1.01814,4.58688,4.50515,0.000381537,0.000273977
16777216,4,SAXPY,0.921539,0.917241,0.995335,6.51084,6.54136,0.000194561,0.000196857
16777216,4,Dot,0.995435,1.02692,1.03163,6.02752,5.8427,0.000143534,9.14054e-05
16777216,4,Multiply,0.3377,0.343159,1.01616,8.88362,8.74231,0.000170181,0.000258323
16777216,8,SAXPY,0.42632,0.429622,1.00775,14.0739,13.9658,0.000229541,0.000165958
16777216,8,Dot,0.46346,0.468498,1.01087,12.9461,12.8069,0.000145567,0.000165021
16777216,8,Multiply,0.158302,0.157418,0.994414,18.9511,19.0576,0.000542193,0.000405277
