N,Stride,Kernel,Scalar_GFLOPs,SIMD_GFLOPs,Speedup,Scalar_CPE,SIMD_CPE,Scalar_Stdev,SIMD_Stdev
1024,1,SAXPY,2.84444,3.53103,1.24138,2.10938,1.69922,1.93907e-07,4e-08
1024,1,Dot,1.01386,1.00392,0.990196,5.91797,5.97656,4e-08,4.89898e-08
1024,1,Multiply,1.65161,1.65161,1,1.81641,1.81641,4e-08,4e-08
1024,2,SAXPY,1.21905,1.21905,1,4.92187,4.92187,4.89898e-08,4.89898e-08
1024,2,Dot,0.812698,0.812698,1,7.38281,7.38281,4.89898e-08,4.89898e-08
1024,2,Multiply,0.673684,0.65641,0.974359,4.45312,4.57031,4.89898e-08,4e-08
1024,4,SAXPY,0.8,0.673684,0.842105,7.5,8.90625,4.89898e-08,8e-08
1024,4,Dot,0.581818,0.556522,0.956522,10.3125,10.7812,7.48331e-08,9.79796e-08
1024,4,Multiply,0.345946,0.0108567,0.0313825,8.67188,276.328,4.89898e-08,4.576e-05
1024,8,SAXPY,0.376471,0.4,1.0625,15.9375,15,7.48331e-08,4.89898e-08
1024,8,Dot,0.365714,0.336842,0.921053,16.4062,17.8125,-nan,4.89898e-08
1024,8,Multiply,0.177778,0.193939,1.09091,16.875,15.4688,4e-08,1.0198e-07
32768,1,SAXPY,8.17157,8.35918,1.02296,0.734253,0.717773,3.91918e-07,4.89898e-08
32768,1,Dot,1.1981,1.16075,0.968827,5.00793,5.16907,3.25085e-06,6.82015e-06
32768,1,Multiply,3.94795,3.91026,0.990453,0.759888,0.767212,4.04969e-07,7.48331e-08
32768,2,SAXPY,2.15296,1.99319,0.925791,2.78687,3.01025,4.9558e-07,2.83027e-06
32768,2,Dot,1.17955,1.19417,1.01239,5.08667,5.02441,1.82362e-06,1.38072e-06
32768,2,Multiply,1.05026,1.07931,1.02767,2.85645,2.77954,7.12741e-07,1.16619e-07
32768,4,SAXPY,0.645548,1.73192,2.68288,9.29443,3.46436,2.36254e-06,4.89898e-08
32768,4,Dot,1.20471,1.18382,0.982659,4.98047,5.06836,-nan,4.8e-07
32768,4,Multiply,0.79534,0.908204,1.14191,3.77197,3.30322,2.8e-06,4e-08
32768,8,SAXPY,1.56935,1.3699,0.87291,3.82324,4.37988,7.90949e-07,7.48331e-08
32768,8,Dot,1.15706,1.16364,1.00568,5.18555,5.15625,4e-08,4.89898e-08
32768,8,Multiply,0.527835,0.324051,0.613924,5.68359,9.25781,2.97227e-06,4.89898e-08
1048576,1,SAXPY,5.99186,6.49474,1.08393,1.00136,0.923824,8.43257e-05,5.85214e-05
1048576,1,Dot,1.19439,1.19227,0.998226,5.0235,5.03242,2.07033e-05,2.8943e-05
1048576,1,Multiply,1.8453,2.1646,1.17303,1.62575,1.38594,0.000147178,3.4294e-05
1048576,2,SAXPY,1.92026,1.92817,1.00412,3.12458,3.11176,3.15595e-05,4.27483e-05
1048576,2,Dot,1.20104,1.19089,0.99155,4.99569,5.03826,1.50877e-05,2.58155e-05
1048576,2,Multiply,0.858335,0.9171,1.06846,3.49514,3.27118,8.55995e-05,2.4812e-05
1048576,4,SAXPY,1.27925,1.28338,1.00323,4.69025,4.67514,5.70621e-05,6.12409e-05
1048576,4,Dot,1.18371,1.19286,1.00774,5.06882,5.02991,1.09381e-05,5.7527e-06
1048576,4,Multiply,0.498733,0.455127,0.912566,6.01524,6.59157,0.000101331,5.77927e-05
1048576,8,SAXPY,0.658422,0.663925,1.00836,9.1127,9.03717,6.13503e-05,5.9228e-05
1048576,8,Dot,0.736318,0.75633,1.02718,8.14865,7.93304,1.18331e-05,5.31752e-06
1048576,8,Multiply,0.246293,0.24658,1.00117,12.1806,12.1664,0.000142513,9.76891e-05
16777216,1,SAXPY,3.20316,3.47598,1.08517,1.87315,1.72613,0.000833806,0.000193325
16777216,1,Dot,1.16665,1.14738,0.983477,5.14291,5.22931,0.000344526,0.000670204
16777216,1,Multiply,1.31388,1.31156,0.998236,2.28332,2.28736,0.000575375,0.000227273
16777216,2,SAXPY,1.61851,1.62113,1.00162,3.70712,3.70113,0.000196271,0.000176159
16777216,2,Dot,1.12238,1.12874,1.00566,5.34579,5.31568,6.7449e-05,9.14407e-05
16777216,2,Multiply,0.693842,0.650304,0.93725,4.32375,4.61323,0.000311115,0.000970538
16777216,4,SAXPY,0.914794,0.931749,1.01853,6.55885,6.4395,8.75777e-05,0.000234859
16777216,4,Dot,1.00086,1.00974,1.00887,5.99483,5.94212,0.000158312,0.000103779
16777216,4,Multiply,0.33038,0.32923,0.996518,9.08044,9.11217,0.000192093,0.000161495
16777216,8,SAXPY,0.431336,0.409268,0.948838,13.9103,14.6603,0.000296379,0.00214009
16777216,8,Dot,0.471201,0.479656,1.01794,12.7334,12.509,0.000348215,8.40111e-05
16777216,8,Multiply,0.155328,0.157925,1.01672,19.3139,18.9963,0.000610775,0.000259871
