N,Stride,Kernel,Scalar_GFLOPs,SIMD_GFLOPs,Speedup,Scalar_CPE,SIMD_CPE,Scalar_Stdev,SIMD_Stdev
1024,1,SAXPY,2.13333,2.84444,1.33333,2.8125,2.10938,1.74356e-07,4e-08
1024,1,Dot,0.984615,0.994175,1.00971,6.09375,6.03516,4e-08,4.89898e-08
1024,1,Multiply,1.24878,1.28,1.025,2.40234,2.34375,9.79796e-08,6.32456e-08
1024,2,SAXPY,1.11304,1.1907,1.06977,5.39062,5.03906,4e-08,4.89898e-08
1024,2,Dot,0.853333,0.752941,0.882353,7.03125,7.96875,7.27287e-15,1.0198e-07
1024,2,Multiply,0.65641,0.64,0.975,4.57031,4.6875,7.48331e-08,-nan
1024,4,SAXPY,0.825806,0.825806,1,7.26562,7.26562,4e-08,4e-08
1024,4,Dot,0.64,0.62439,0.97561,9.375,9.60938,-nan,4e-08
1024,4,Multiply,0.387879,0.412903,1.06452,7.73437,7.26562,8e-08,4e-08
1024,8,SAXPY,0.492308,0.457143,0.928571,12.1875,13.125,4e-08,4.89898e-08
1024,8,Dot,0.4,0.4,1,15,15,4.89898e-08,4.89898e-08
1024,8,Multiply,0.228571,0.228571,1,13.125,13.125,4.89898e-08,4.89898e-08
32768,1,SAXPY,2.9205,4.27223,1.46284,2.05444,1.40442,1.10784e-05,2.33238e-07
32768,1,Dot,1.21769,1.20826,0.992257,4.92737,4.96582,1.54065e-06,2.48e-06
32768,1,Multiply,1.59068,1.80839,1.13687,1.88599,1.65894,9.95008e-06,3.14477e-06
32768,2,SAXPY,1.64663,0.852889,0.517959,3.6438,7.03491,4.8e-06,2.94985e-06
32768,2,Dot,1.22451,1.22451,1,4.8999,4.8999,8e-08,4.89898e-08
32768,2,Multiply,0.416472,0.834216,2.00305,7.20337,3.59619,1.73043e-06,4.18024e-06
32768,4,SAXPY,1.44735,1.41485,0.977547,4.14551,4.24072,4.39017e-06,1.16619e-07
32768,4,Dot,1.18553,1.20294,1.01468,5.06104,4.98779,4.4e-07,4e-08
32768,4,Multiply,0.308434,0.585143,1.89714,9.72656,5.12695,3.52114e-06,4.10024e-06
32768,8,SAXPY,0.835918,1.05026,1.25641,7.17773,5.71289,4.70021e-06,3.03315e-07
32768,8,Dot,1.12837,1.16364,1.03125,5.31738,5.15625,4.22374e-07,4.89898e-08
32768,8,Multiply,0.143619,0.372364,2.59273,20.8887,8.05664,8.34348e-06,1.4519e-06
1048576,1,SAXPY,2.62512,2.37261,0.903813,2.28561,2.52886,0.000126372,0.000115864
1048576,1,Dot,1.16474,1.19684,1.02756,5.15139,5.0132,1.86252e-05,6.86516e-06
1048576,1,Multiply,0.768672,0.752369,0.97879,3.90284,3.98741,7.09964e-05,0.000136935
1048576,2,SAXPY,1.17627,1.17871,1.00207,5.10086,5.09033,0.000121944,0.000114976
1048576,2,Dot,1.11999,1.19344,1.06558,5.35721,5.0275,5.62345e-05,1.26258e-05
1048576,2,Multiply,0.396287,0.392138,0.989529,7.57027,7.65038,7.91702e-05,0.000204781
1048576,4,SAXPY,0.638815,0.6679,1.04553,9.3924,8.98338,0.000181283,0.00012802
1048576,4,Dot,0.672078,0.795509,1.18366,8.92754,7.54234,0.000208192,3.79323e-05
1048576,4,Multiply,0.180781,0.194431,1.0755,16.5946,15.4296,0.00023523,0.000211402
1048576,8,SAXPY,0.289559,0.20434,0.705693,20.7211,29.3628,0.000204562,5.1973e-05
1048576,8,Dot,0.319042,0.383162,1.20098,18.8063,15.6592,0.00014233,7.98564e-06
1048576,8,Multiply,0.0907613,0.0959349,1.057,33.0537,31.2712,0.000203535,0.000131378
16777216,1,SAXPY,1.68002,1.74394,1.03804,3.57138,3.44049,0.000523302,0.0010943
16777216,1,Dot,1.15849,1.16274,1.00367,5.17916,5.16021,0.000190937,0.000137376
16777216,1,Multiply,0.63766,0.644416,1.0106,4.7047,4.65537,0.000607178,0.000399188
16777216,2,SAXPY,0.843268,0.851482,1.00974,7.11518,7.04654,0.000465671,0.000309224
16777216,2,Dot,0.932795,0.905198,0.970415,6.43228,6.62838,0.000278252,0.000398812
16777216,2,Multiply,0.309591,0.309854,1.00085,9.69021,9.68199,0.000294987,0.00119518
16777216,4,SAXPY,0.395356,0.40128,1.01498,15.1762,14.9521,0.000335048,0.00050919
16777216,4,Dot,0.419846,0.4279,1.01918,14.291,14.022,0.000915764,0.00051725
16777216,4,Multiply,0.139408,0.135355,0.970924,21.5195,22.1639,0.000584774,0.000149297
16777216,8,SAXPY,0.172537,0.171918,0.996413,34.7752,34.9004,0.00290221,0.000764188
16777216,8,Dot,0.196424,0.18772,0.955689,30.5462,31.9625,0.00177033,0.000354541
16777216,8,Multiply,0.0641176,0.0676248,1.0547,46.789,44.3624,0.00121096,0.0016937
