N,Stride,Kernel,Scalar_GFLOPs,SIMD_GFLOPs,Speedup,Scalar_CPE,SIMD_CPE,Scalar_Stdev,SIMD_Stdev
1024,1,SAXPY,2.84444,3.41333,1.2,2.10938,1.75781,9.80E-08,3.64E-15
1024,1,Dot,0.984615,0.994175,1.00971,6.09375,6.03516,4.00E-08,4.90E-08
1024,1,Multiply,1.65161,1.70667,1.03333,1.81641,1.75781,4.00E-08,3.64E-15
1024,2,SAXPY,1.1907,1.28,1.075,5.03906,4.6875,4.90E-08,#NAME?
1024,2,Dot,0.839344,0.273797,0.326203,7.14844,21.9141,4.00E-08,5.03E-06
1024,2,Multiply,0.691892,0.673684,0.973684,4.33594,4.45312,4.90E-08,8.00E-08
1024,4,SAXPY,0.775758,0.853333,1.1,7.73437,7.03125,4.90E-08,3.64E-15
1024,4,Dot,0.62439,0.64,1.025,9.60938,9.375,4.00E-08,#NAME?
1024,4,Multiply,0.426667,0.426667,1,7.03125,7.03125,3.64E-15,3.64E-15
1024,8,SAXPY,0.474074,0.512,1.08,12.6562,11.7188,4.90E-08,4.19E-15
1024,8,Dot,0.412903,0.412903,1,14.5312,14.5312,4.00E-08,4.00E-08
1024,8,Multiply,0.237037,0.237037,1,12.6562,12.6562,4.90E-08,4.90E-08
32768,1,SAXPY,8.31675,8.33791,1.00254,0.721436,0.719604,1.72E-07,4.90E-08
32768,1,Dot,1.19941,1.2096,1.00849,5.00244,4.96033,3.23E-06,2.31E-06
32768,1,Multiply,3.92902,3.89169,0.990499,0.76355,0.770874,5.31E-07,4.00E-08
32768,2,SAXPY,1.96216,2.17294,1.10743,3.05786,2.76123,3.25E-06,7.48E-08
32768,2,Dot,1.2236,1.22543,1.0015,4.90356,4.89624,7.48E-08,4.90E-08
32768,2,Multiply,1.04757,1.07789,1.02895,2.86377,2.7832,1.13E-06,6.32E-08
32768,4,SAXPY,1.76933,1.73192,0.978858,3.39111,3.46436,5.71E-07,8.00E-08
32768,4,Dot,1.20117,1.20648,1.00442,4.99512,4.97314,4.90E-08,4.00E-08
32768,4,Multiply,0.862316,0.89628,1.03939,3.479,3.34717,9.01E-07,4.90E-08
32768,8,SAXPY,1.52836,1.36533,0.893333,3.92578,4.39453,1.12E-06,1.10E-07
32768,8,Dot,1.16695,1.16364,0.997159,5.1416,5.15625,4.00E-08,4.90E-08
32768,8,Multiply,0.64,0.660645,1.03226,4.6875,4.54102,5.02E-07,#NAME?
1048576,1,SAXPY,5.32002,5.54186,1.0417,1.12782,1.08267,8.22E-05,7.62E-05
1048576,1,Dot,1.17588,1.18096,1.00432,5.10258,5.0806,2.69E-05,3.33E-05
1048576,1,Multiply,1.865,2.2093,1.18461,1.60858,1.3579,7.93E-05,0.000116111
1048576,2,SAXPY,1.86606,1.99714,1.07024,3.21533,3.0043,5.23E-05,4.71E-05
1048576,2,Dot,1.20167,1.20804,1.0053,4.99306,4.96674,1.20E-05,7.66E-06
1048576,2,Multiply,0.847594,0.871895,1.02867,3.53943,3.44078,8.14E-05,5.15E-05
1048576,4,SAXPY,1.30271,1.26768,0.973113,4.60579,4.73305,4.57E-05,6.98E-05
1048576,4,Dot,1.19466,1.1975,1.00238,5.02235,5.01045,1.11E-05,6.58E-06
1048576,4,Multiply,0.431342,0.457191,1.05993,6.95503,6.56181,0.000107469,6.27E-05
1048576,8,SAXPY,0.646726,0.649032,1.00357,9.2775,9.24454,6.55E-05,7.08E-05
1048576,8,Dot,0.905756,0.767625,0.847496,6.6243,7.81631,1.93E-05,1.80E-05
1048576,8,Multiply,0.242009,0.299388,1.23709,12.3962,10.0204,0.000104701,5.66E-05
16777216,1,SAXPY,3.57607,3.61079,1.00971,1.67782,1.66169,9.14E-05,0.00026301
16777216,1,Dot,1.17056,1.15579,0.987386,5.12575,5.19123,0.000131192,0.000306914
16777216,1,Multiply,1.3625,1.34626,0.988084,2.20184,2.22839,0.000109038,0.000224402
16777216,2,SAXPY,1.6415,1.63048,0.993287,3.6552,3.6799,7.45E-05,8.05E-05
16777216,2,Dot,1.11998,1.12703,1.00629,5.35724,5.32374,5.25E-05,7.20E-05
16777216,2,Multiply,0.679265,0.669179,0.985151,4.41654,4.48311,0.000215108,0.000273285
16777216,4,SAXPY,0.914776,0.928874,1.01541,6.55898,6.45943,0.000204429,0.000151019
16777216,4,Dot,0.994201,0.964232,0.969857,6.035,6.22257,0.000111178,0.000131358
16777216,4,Multiply,0.324269,0.32348,0.997568,9.25159,9.27415,0.000192424,0.000164275
16777216,8,SAXPY,0.420144,0.427168,1.01672,14.2808,14.046,0.000272831,0.000322477
16777216,8,Dot,0.459956,0.461943,1.00432,13.0447,12.9886,0.000255041,0.000120896
16777216,8,Multiply,0.152128,0.151661,0.996931,19.7202,19.7809,0.000215667,0.000510362
