bytes,strideB,ns_per_access,cycles_per_access
4096,64,4.08936,10.2234
8192,64,4.03442,10.0861
16384,64,4.02527,10.0632
32768,64,4.02374,10.0594
57344,64,5.6536,14.134
110592,64,5.67898,14.1975
212992,64,5.67674,14.1918
409600,64,5.66882,14.1721
786432,64,5.66241,14.156
1511424,64,6.368,15.92
2912256,64,5.97188,14.9297
5619712,64,6.01906,15.0477
10829824,64,6.05957,15.1489
20885504,64,6.96222,17.4055
40271872,64,8.54217,21.3554
77656064,64,8.80131,22.0033
149741568,64,8.8509,22.1272
288755712,64,8.95922,22.398
556818432,64,8.94094,22.3524
1073741824,64,8.92155,22.3039
