bytes,pattern,strideB,ns_per_access,cycles_per_access
4096,chase,64,4.12598,10.3149
8192,chase,64,4.05273,10.1318
16384,chase,64,4.02222,10.0555
32768,chase,64,4.02069,10.0517
57344,chase,64,5.60477,14.0119
110592,chase,64,6.03932,15.0983
212992,chase,64,5.63566,14.0891
409600,chase,64,5.60901,14.0225
786432,chase,64,5.73165,14.3291
1511424,chase,64,6.31911,15.7978
2912256,chase,64,5.87663,14.6916
5619712,chase,64,5.93858,14.8464
10829824,chase,64,6.16479,15.412
20885504,chase,64,7.1383,17.8457
40271872,chase,64,8.3537,20.8843
77656064,chase,64,8.37333,20.9333
149741568,chase,64,8.44816,21.1204
288755712,chase,64,8.55762,21.3941
556818432,chase,64,8.49756,21.2439
1073741824,chase,64,8.59856,21.4964
