m,k,n,density,kernel,threads,best_time_s,GFLOP_s,nnz
2048,2048,2048,0.0005,dense,4,0.605759,28.3609,4194304
2048,2048,2048,0.0005,spmm,4,0.0014745,5.68912,2048
2048,2048,2048,0.001,dense,4,0.598768,28.692,4194304
2048,2048,2048,0.001,spmm,4,0.0015938,10.655,4146
2048,2048,2048,0.002,dense,4,0.587025,29.266,4194304
2048,2048,2048,0.002,spmm,4,0.0020032,17.1532,8389
2048,2048,2048,0.005,dense,4,0.584045,29.4153,4194304
2048,2048,2048,0.005,spmm,4,0.0033095,25.9362,20956
2048,2048,2048,0.01,dense,4,0.5935,28.9467,4194304
2048,2048,2048,0.01,spmm,4,0.0056918,30.0964,41822
2048,2048,2048,0.02,dense,4,0.595743,28.8377,4194304
2048,2048,2048,0.02,spmm,4,0.0102907,33.3835,83872
2048,2048,2048,0.05,dense,4,0.590165,29.1103,4194304
2048,2048,2048,0.05,spmm,4,0.02438,35.1382,209148
2048,2048,2048,0.1,dense,4,0.59484,28.8815,4194304
2048,2048,2048,0.1,spmm,4,0.0468841,36.6549,419563
2048,2048,2048,0.2,dense,4,0.58577,29.3287,4194304
2048,2048,2048,0.2,spmm,4,0.0935673,36.6877,838078
2048,2048,2048,0.5,dense,4,0.604068,28.4403,4194304
2048,2048,2048,0.5,spmm,4,0.232178,36.9976,2097176
