impl,workload,nkeys,threads,nlocks,seconds,seed,run_id,total_ops,ops_per_s
coarse,lookup,10000,1,1024,2,123,1,58588528,2.92904e+07
coarse,lookup,10000,1,1024,2,123,2,53798785,2.68954e+07
coarse,lookup,10000,1,1024,2,123,3,49725179,2.48606e+07
coarse,lookup,10000,2,1024,2,123,1,15418570,7.70847e+06
coarse,lookup,10000,2,1024,2,123,2,15287839,7.64317e+06
coarse,lookup,10000,2,1024,2,123,3,14676614,7.33767e+06
coarse,lookup,10000,4,1024,2,123,1,11961384,5.97985e+06
coarse,lookup,10000,4,1024,2,123,2,11714802,5.85656e+06
coarse,lookup,10000,4,1024,2,123,3,12369713,6.18364e+06
coarse,lookup,10000,8,1024,2,123,1,9629671,4.81321e+06
coarse,lookup,10000,8,1024,2,123,2,9488275,4.74268e+06
coarse,lookup,10000,8,1024,2,123,3,9636533,4.81646e+06
coarse,lookup,10000,16,1024,2,123,1,8012047,4.00386e+06
coarse,lookup,10000,16,1024,2,123,2,7852238,3.92397e+06
coarse,lookup,10000,16,1024,2,123,3,8147661,4.07166e+06
coarse,lookup,100000,1,1024,2,123,1,35376962,1.76874e+07
coarse,lookup,100000,1,1024,2,123,2,34212680,1.71053e+07
coarse,lookup,100000,1,1024,2,123,3,35921614,1.79596e+07
coarse,lookup,100000,2,1024,2,123,1,10991570,5.49538e+06
coarse,lookup,100000,2,1024,2,123,2,10219590,5.10942e+06
coarse,lookup,100000,2,1024,2,123,3,10009543,5.00436e+06
coarse,lookup,100000,4,1024,2,123,1,7889509,3.94403e+06
coarse,lookup,100000,4,1024,2,123,2,7603084,3.80101e+06
coarse,lookup,100000,4,1024,2,123,3,7948435,3.97368e+06
coarse,lookup,100000,8,1024,2,123,1,6215039,3.1063e+06
coarse,lookup,100000,8,1024,2,123,2,6139377,3.06861e+06
coarse,lookup,100000,8,1024,2,123,3,6288335,3.14315e+06
coarse,lookup,100000,16,1024,2,123,1,5248381,2.62214e+06
coarse,lookup,100000,16,1024,2,123,2,5450183,2.72312e+06
coarse,lookup,100000,16,1024,2,123,3,5562515,2.77916e+06
coarse,lookup,1000000,1,1024,2,123,1,12470500,6.23477e+06
coarse,lookup,1000000,1,1024,2,123,2,10243338,5.12114e+06
coarse,lookup,1000000,1,1024,2,123,3,12877886,6.43847e+06
coarse,lookup,1000000,2,1024,2,123,1,3901123,1.95036e+06
coarse,lookup,1000000,2,1024,2,123,2,3769106,1.88439e+06
coarse,lookup,1000000,2,1024,2,123,3,3882684,1.94112e+06
coarse,lookup,1000000,4,1024,2,123,1,2951168,1.47525e+06
coarse,lookup,1000000,4,1024,2,123,2,2866114,1.43283e+06
coarse,lookup,1000000,4,1024,2,123,3,2810340,1.40489e+06
coarse,lookup,1000000,8,1024,2,123,1,2569807,1.28442e+06
coarse,lookup,1000000,8,1024,2,123,2,2615257,1.30715e+06
coarse,lookup,1000000,8,1024,2,123,3,2602856,1.30101e+06
coarse,lookup,1000000,16,1024,2,123,1,2462953,1.23065e+06
coarse,lookup,1000000,16,1024,2,123,2,2507147,1.2528e+06
coarse,lookup,1000000,16,1024,2,123,3,2508079,1.25321e+06
coarse,insert,10000,1,1024,2,123,1,34718754,1.73586e+07
coarse,insert,10000,1,1024,2,123,2,35078628,1.75387e+07
coarse,insert,10000,1,1024,2,123,3,32385921,1.61922e+07
coarse,insert,10000,2,1024,2,123,1,8992311,4.49597e+06
coarse,insert,10000,2,1024,2,123,2,9108637,4.55413e+06
coarse,insert,10000,2,1024,2,123,3,8807081,4.40337e+06
coarse,insert,10000,4,1024,2,123,1,6555873,3.27759e+06
coarse,insert,10000,4,1024,2,123,2,6649981,3.32471e+06
coarse,insert,10000,4,1024,2,123,3,6670866,3.33506e+06
coarse,insert,10000,8,1024,2,123,1,5306006,2.65257e+06
coarse,insert,10000,8,1024,2,123,2,5179129,2.58917e+06
coarse,insert,10000,8,1024,2,123,3,5120829,2.55987e+06
coarse,insert,10000,16,1024,2,123,1,4666505,2.33246e+06
coarse,insert,10000,16,1024,2,123,2,4590807,2.29457e+06
coarse,insert,10000,16,1024,2,123,3,4595681,2.29702e+06
coarse,insert,100000,1,1024,2,123,1,20976306,1.04877e+07
coarse,insert,100000,1,1024,2,123,2,21719506,1.08593e+07
coarse,insert,100000,1,1024,2,123,3,20964515,1.04818e+07
coarse,insert,100000,2,1024,2,123,1,5550374,2.77505e+06
coarse,insert,100000,2,1024,2,123,2,5754481,2.87705e+06
coarse,insert,100000,2,1024,2,123,3,6207322,3.10351e+06
coarse,insert,100000,4,1024,2,123,1,4986335,2.49297e+06
coarse,insert,100000,4,1024,2,123,2,5374023,2.6867e+06
coarse,insert,100000,4,1024,2,123,3,5408802,2.70418e+06
coarse,insert,100000,8,1024,2,123,1,4192459,2.09586e+06
coarse,insert,100000,8,1024,2,123,2,4471170,2.23518e+06
